Project Name,Package Name,Type Name,Method Name,Code Smell
books-core,com.sismics.books.core.service,BookDataService,searchBookWithOpenLibrary,Magic Number
books-core,com.sismics.books.core.service,BookDataService,searchBookWithOpenLibrary,Magic Number
books-core,com.sismics.books.core.service,BookDataService,searchBookWithOpenLibrary,Magic Number
books-core,com.sismics.books.core.service,BookDataService,downloadThumbnail,Long Statement
books-core,com.sismics.books.core.service,BookDataService,downloadThumbnail,Magic Number
books-core,com.sismics.books.core.service,BookDataService,downloadThumbnail,Magic Number
books-core,com.sismics.books.core.service,BookDataService,shutDown,Magic Number
books-core,com.sismics.books.core.service,FacebookService,validatePermission,Complex Method
books-core,com.sismics.books.core.service,FacebookService,synchronizeContact,Complex Method
books-core,com.sismics.books.core.service,FacebookService,synchronizeContact,Magic Number
books-core,com.sismics.books.core.util,StreamUtil,detectGzip,Magic Number
books-core,com.sismics.books.core.util,StreamUtil,detectGzip,Magic Number
books-core,com.sismics.books.core.util,StreamUtil,detectGzip,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Complex Conditional
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Complex Conditional
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Complex Conditional
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Long Statement
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Long Statement
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Long Statement
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,on,Complex Method
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,on,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,on,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,on,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,on,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,on,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,on,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,on,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,on,Magic Number
